Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1614455815.5611727,197,1614455815,537906885,base_imu_link,0.11088054997892058,0.024865012768160832,-0.9156379193546603,0.3856091744451625,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.21,-0.04,0.31,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-2.188346796875,-1.2020010937499999,8.479891718749998,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.583929,198,1614455815,560033082,base_imu_link,0.1097680160483118,0.03134829829212097,-0.9147779289354163,0.3874914290402256,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.01,0.33,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-4.467475703124999,-0.5554179687499999,10.083708984374999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.6039433,199,1614455815,580656051,base_imu_link,0.11474570208876464,0.03676415311699467,-0.913182213219573,0.3893328477757163,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.19,0.38,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-2.2982812499999996,1.1253917187499998,9.126091796874999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.6240628,200,1614455815,600745916,base_imu_link,0.11702700555412016,0.0330884146033748,-0.9119874772945453,0.3917763112389546,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.08,-0.0,0.37,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.613776484375,-0.19650304687499998,10.863975468749999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.6436925,201,1614455815,620440959,base_imu_link,0.11157195449605446,0.03246202883870994,-0.9117653300912778,0.3939313372875385,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.01,-0.16,0.36,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.441405390625,2.2170753125,7.732950312499999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.6637514,202,1614455815,639956951,base_imu_link,0.11365196078793677,0.02762195124105082,-0.9103942238731991,0.3968659934499423,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.22,0.1,0.35,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-3.001938359375,-0.41177539062499996,10.911856328125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.6840637,203,1614455815,660582065,base_imu_link,0.11071600898250744,0.029703668713685603,-0.9093877602930637,0.3998419173237073,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.05,-0.39,0.43,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.7574190625,1.1587167968749998,8.187626953125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.7040093,204,1614455815,680649042,base_imu_link,0.11284738504276202,0.029120184435774868,-0.907810202517591,0.4028624067251839,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.25,0.19,0.41,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.43182921875,0.10533789062499999,10.758637578124999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.723801,205,1614455815,700390100,base_imu_link,0.10683604309037616,0.027619340339727648,-0.9072074033444134,0.4059531490862909,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.21,0.44,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-3.0689715625,0.014555781249999998,9.346343749999999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.7439284,206,1614455815,720700979,base_imu_link,0.11082575595955331,0.03193755376325686,-0.9058891446556013,0.407507671180256,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.12,-0.0,0.41,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.34474218749999996,0.8859874218749999,10.20819921875,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.764093,207,1614455815,740869998,base_imu_link,0.10215013929570248,0.0239099232671935,-0.9056086467971373,0.4109338674987543,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.06,0.1,0.42,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.829048828125,0.8810078124999999,8.168474609375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614455815.7828717,208,1614455815,758153915,base_imu_link,0.10552302251795967,0.024867109720542905,-0.9037185320617214,0.41417307177196855,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.2,0.27,0.4,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-3.12183203125,-0.10074132812499999,10.734888671875,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
